fr	(Drapeau_du_Malawi,1)
en.m	(Formal_grammar,6)
en.m	(1978–79_NBA_season,1)
en	(Attack_on_titan,2)
en	(Roi_Et,1)
es	(Hidrocarburo,9)
es	(Hermíone_(ciudad),1)
es	(Cannonball_Adderley,1)
es.m	(Antropogonía,1)
es.m	(Universidad_de_Columbia,1)
fr.zero	(Donald_Trump,_Jr.,1)
fr.zero	(Anomalie_chromosomique,1)
fr.zero	(Baie_(architecture),2)
fr.zero	(Les_Chansons_en_or,2)
fr.m	(District_départemental_de_football,2)
fr.d	(acter,1)
fr.d	(xiphoïde,1)
fr.d	(prolétaire,1)
fr.m.d	(civilization,1)
fr.m.d	(av._J.-C.,1)
fr.m.d	(ischion,1)
en.d	(complex,1)
en.d	(ferm,2)
en.d	(鈈,1)
es.m.q	(Frase_Célebres_Deportivas,1)
es.m.q	(Buda_Gautama,1)
es.m.q	(Miguel_Luis,1)
en.m.d	(innalillahiwainnailaihirojiun,28)
en.m.d	(conduire,1)
en.m.d	(abfliegen,1)
en.m.d	(ἕλμινς,4)
en.voy	(Nuremberg,2)
en.b	(IB_Economics/Macroeconomics/Measuring_National_Income,2)
en.zero	(2001,1)
en.zero	(Uncharted_4:_A_Thief's_End,1)
en.zero	(Miele,1)
en.m.b	(Wikijunior:Fruit_Alphabet/V,4)
en.m.b	(Guitar/Open_Chords,2)
en.m.b	(File:Pl-dobranoc.ogg,1)
fr.s	(Les_Gardeuses_de_boucs,1)
frr	(Düüwen,1)
en.q	(Dune_(film),1)
en.q	(Fourth_Doctor,1)
en.q	(Rome:_Total_War,1)
en.q	(Werner_Heisenberg,4)
en.q	(The_Powerpuff_Girls_Movie,1)
fr.v	(Introduction_à_la_science_des_matériaux/Diagrammes_binaires,2)
fr.m.s	(Catégorie:Auteurs-Parnasse,1)
en.v	(Digital_Media_Concepts,1)
en.v	(Principles_of_Public_Health_Practice,1)
en.v	(Nonlinear_finite_elements/Weak_form_of_Poisson_equation,2)
en.m.s	(The_Federalist_Papers/No._1,1)
en.s	(Public_Law_108-237/Title_II/Subtitle_A,1)
